h3,Accomodation_access,Primary Schools_access,Public Transports Stops_access,Municipal Sports Centers_access
8a1e80424637fff,8.0,3.0,97.5,2.0
8a1e80424697fff,14.0,3.0,143.0,3.0
8a1e804246b7fff,14.0,3.0,142.0,3.0
8a1e804246d7fff,1.0,0.0,30.5,0.0
8a1e804246dffff,2.0,0.0,31.0,0.0
8a1e804246e7fff,1.0,0.0,41.0,0.0
8a1e80424717fff,13.0,3.0,133.0,2.0
8a1e8042471ffff,3.0,1.0,75.0,2.0
8a1e8042474ffff,3.0,1.0,60.5,0.0
8a1e8042476ffff,6.0,3.0,98.4,2.6
8a1e8042478ffff,2.0,0.0,64.0,0.0
8a1e804247affff,2.0,0.0,44.0,0.0
8a1e80424837fff,4.0,1.0,39.0,2.0
8a1e8042484ffff,49.0,7.0,201.5,5.0
8a1e8042488ffff,48.0,12.0,212.0,6.0
8a1e80424897fff,136.5,17.0,471.5,6.0
8a1e8042489ffff,102.0,14.0,350.0,6.0
8a1e80424977fff,68.0,2.0,107.0,0.0
8a1e80424987fff,62.0,13.0,238.0,6.0
8a1e804249a7fff,129.0,15.0,332.0,6.0
8a1e804249b7fff,102.16666666666667,14.5,302.3333333333333,6.0
8a1e80424a0ffff,42.5,2.0,113.0,0.0
8a1e80424a17fff,32.0,2.0,112.0,2.0
8a1e80424a47fff,95.0,4.0,180.0,0.0
8a1e80424a4ffff,227.16666666666666,11.666666666666666,343.6666666666667,2.5
8a1e80424a67fff,260.5,10.0,331.5,3.5
8a1e80424a6ffff,217.0,10.0,322.0,3.0
8a1e80424a77fff,77.0,4.0,161.5,0.0
8a1e80424b07fff,24.0,3.0,113.0,4.0
8a1e80424b1ffff,21.0,3.0,108.0,4.0
8a1e80424b37fff,38.0,5.0,177.0,4.0
8a1e80424b47fff,284.8,10.2,334.2,4.0
8a1e80424b4ffff,279.5,10.0,326.0,4.0
8a1e80424b57fff,27.0,1.0,66.0,0.0
8a1e80424b67fff,307.0,11.0,331.5,4.0
8a1e80424b87fff,34.0,3.0,120.0,3.0
8a1e80424baffff,67.0,3.0,203.0,4.0
8a1e80424c07fff,143.0,18.25,561.5,6.5
8a1e80424c0ffff,150.33333333333334,20.666666666666668,611.0,6.0
8a1e80424c17fff,129.25,21.75,601.75,8.0
8a1e80424c1ffff,117.0,20.0,547.0,8.0
8a1e80424c27fff,150.0,19.166666666666668,576.5,7.333333333333333
8a1e80424c2ffff,140.0,19.0,545.0,6.0
8a1e80424c47fff,80.0,13.5,357.0,6.0
8a1e80424c4ffff,47.0,11.0,194.0,6.0
8a1e80424c57fff,105.0,17.0,471.0,6.0
8a1e80424c67fff,113.0,14.5,413.0,6.0
8a1e80424c77fff,155.0,18.0,571.0,6.0
8a1e80424c97fff,119.5,21.0,597.0,8.0
8a1e80424ca7fff,131.0,22.0,605.5,8.0
8a1e80424caffff,137.83333333333334,22.166666666666668,623.0,8.0
8a1e80424cb7fff,126.0,21.0,589.0,8.0
8a1e80424cc7fff,133.28571428571428,22.285714285714285,595.7142857142857,7.714285714285714
8a1e80424cd7fff,131.33333333333334,21.666666666666668,602.0,8.0
8a1e80424cdffff,109.0,20.0,542.0,6.0
8a1e80424ce7fff,143.0,22.0,602.4,7.2
8a1e80424ceffff,122.0,21.5,562.0,6.0
8a1e80424cf7fff,129.75,21.75,596.5,7.5
8a1e80424d07fff,174.42857142857142,21.285714285714285,592.1428571428571,9.0
8a1e80424d0ffff,134.0,19.0,546.0,8.0
8a1e80424d17fff,177.0,21.0,586.0,9.0
8a1e80424d1ffff,147.0,19.8,569.2,8.0
8a1e80424d27fff,135.0,17.666666666666668,529.3333333333334,8.333333333333334
8a1e80424d2ffff,155.66666666666666,20.333333333333332,568.3333333333334,8.666666666666666
8a1e80424d37fff,193.0,23.625,617.5,9.0
8a1e80424d57fff,151.0,18.5,584.0,7.0
8a1e80424d67fff,160.66666666666666,17.666666666666668,508.0,6.666666666666667
8a1e80424d77fff,125.375,17.5,513.25,6.0
8a1e80424d87fff,108.0,17.0,496.0,6.0
8a1e80424d9ffff,113.0,20.0,532.0,8.0
8a1e80424da7fff,121.75,17.25,506.0,6.5
8a1e80425007fff,553.5,20.0,507.5,3.0
8a1e8042500ffff,421.0,16.0,400.0,0.0
8a1e80425027fff,557.3333333333334,20.166666666666668,511.1666666666667,3.5
8a1e8042502ffff,289.5,13.0,329.5,0.0
8a1e80425047fff,145.66666666666666,6.666666666666667,214.33333333333334,0.0
8a1e8042504ffff,172.55555555555554,9.333333333333334,259.55555555555554,0.0
8a1e80425067fff,76.0,4.0,120.0,0.0
8a1e8042506ffff,164.25,8.625,243.25,0.0
8a1e80425097fff,22.0,1.0,50.0,0.0
8a1e804250c7fff,534.0,20.0,496.0,2.0
8a1e804250cffff,427.0,17.0,423.0,0.0
8a1e804250d7fff,472.5,17.5,445.5,1.0
8a1e804250dffff,484.0,18.6,465.8,1.2
8a1e804250e7fff,494.0,18.0,463.0,1.0
8a1e804250f7fff,390.6,15.4,395.0,0.4
8a1e80425107fff,602.2857142857143,22.0,543.0,4.0
8a1e80425117fff,490.6,17.4,450.0,1.4
8a1e8042511ffff,570.6666666666666,21.166666666666668,525.6666666666666,3.5
8a1e80425127fff,559.0,20.2,505.0,3.2
8a1e80425137fff,653.0,23.2,558.0,4.0
8a1e80425147fff,244.0,11.0,305.0,0.0
8a1e80425157fff,474.0,17.0,439.5,1.0
8a1e8042515ffff,304.0,13.0,330.0,0.0
8a1e804251b7fff,213.0,10.0,279.0,0.0
8a1e80425227fff,247.0,13.5,380.5,0.0
8a1e8042522ffff,263.0,14.5,414.0,1.0
8a1e80425237fff,218.0,11.333333333333334,341.6666666666667,0.0
8a1e8042529ffff,219.0,11.0,324.0,0.0
8a1e8042530ffff,202.0,12.0,326.0,0.0
8a1e80425317fff,183.33333333333334,9.333333333333334,273.0,0.0
8a1e80425327fff,188.5,10.5,287.0,0.0
8a1e8042532ffff,206.0,11.0,323.0,1.25
8a1e80425337fff,205.78571428571428,10.357142857142858,310.57142857142856,0.0
8a1e8042534ffff,252.0,14.5,409.5,1.0
8a1e80425357fff,228.0,12.5,367.5,0.25
8a1e8042535ffff,56.0,2.0,95.5,0.0
8a1e80425377fff,202.75,12.0,322.5,0.5
8a1e80425387fff,315.0,14.0,362.0,0.0
8a1e80425397fff,386.7142857142857,16.142857142857142,403.14285714285717,0.0
8a1e8042539ffff,217.0,10.0,325.0,0.0
8a1e804253a7fff,119.0,5.0,189.0,0.0
8a1e804253affff,195.0,10.0,308.0,0.0
8a1e804253b7fff,368.0,16.0,391.25,0.0
8a1e804254b7fff,15.0,0.0,69.0,0.0
8a1e804254cffff,0.0,0.0,1.0,0.0
8a1e80425507fff,59.0,4.0,107.0,0.0
8a1e8042550ffff,180.0,8.0,256.0,0.0
8a1e80425537fff,27.0,1.0,67.0,0.0
8a1e80425547fff,240.0,11.0,313.5,0.0
8a1e80425557fff,271.0,12.0,337.0,0.0
8a1e8042556ffff,219.33333333333334,10.0,291.0,0.0
8a1e80425577fff,274.0,12.0,339.0,0.0
8a1e80425587fff,13.0,0.5,37.0,0.0
8a1e8042558ffff,1.0,0.0,18.0,0.0
8a1e80425607fff,242.0,11.0,307.0,0.0
8a1e8042560ffff,179.0,8.0,254.0,0.0
8a1e80425627fff,334.0,14.0,371.0,0.0
8a1e8042562ffff,204.5,9.5,279.0,0.0
8a1e80425647fff,295.5,13.5,361.0,0.0
8a1e8042564ffff,398.2,16.0,421.4,0.0
8a1e8042565ffff,345.0,15.666666666666666,390.0,0.0
8a1e80425667fff,249.0,11.0,326.0,0.0
8a1e8042566ffff,376.5,15.5,410.0,0.0
8a1e80425677fff,68.0,4.0,106.5,0.0
8a1e8042568ffff,213.0,10.0,301.0,0.0
8a1e804256affff,95.0,3.5,149.0,0.0
8a1e804256cffff,254.0,11.333333333333334,324.3333333333333,0.0
8a1e804256e7fff,130.0,4.0,173.0,0.0
8a1e804256effff,348.0,16.0,395.0,0.0
8a1e8042571ffff,181.0,8.0,257.0,0.0
8a1e80425727fff,370.0,15.0,376.0,0.0
8a1e80425747fff,459.0,17.0,449.0,0.0
8a1e8042574ffff,389.6,15.4,409.4,0.0
8a1e8042575ffff,374.6666666666667,16.0,403.5,0.0
8a1e80425767fff,471.7142857142857,17.571428571428573,461.2857142857143,0.5714285714285714
8a1e8042576ffff,255.75,13.0,372.5,0.0
8a1e80425777fff,404.25,15.75,414.25,0.0
8a1e80425787fff,175.66666666666666,7.333333333333333,249.0,0.0
8a1e804257b7fff,225.5,10.5,298.5,0.0
8a1e80425807fff,426.0,16.5,403.0,0.5
8a1e80425817fff,559.0,19.5,497.0,3.5
8a1e8042581ffff,400.0,15.5,383.0,0.0
8a1e80425827fff,432.0,16.0,402.0,0.0
8a1e80425837fff,619.0,22.0,535.0,4.0
8a1e80425857fff,329.77777777777777,14.222222222222221,346.22222222222223,0.0
8a1e8042585ffff,226.0,10.333333333333334,288.6666666666667,0.0
8a1e80425867fff,300.5,13.5,346.0,0.0
8a1e80425877fff,363.0,15.0,368.0,0.0
8a1e80425887fff,604.0,21.5,527.0,4.0
8a1e8042589ffff,672.8571428571429,23.428571428571427,566.4285714285714,4.0
8a1e804258a7fff,699.0,23.666666666666668,569.6666666666666,4.0
8a1e804258affff,488.0,18.0,441.0,1.0
8a1e804258c7fff,306.0,14.0,329.0,0.0
8a1e804258cffff,271.0,12.0,321.0,0.0
8a1e804258d7fff,381.0,15.25,376.75,0.0
8a1e804258e7fff,361.85714285714283,15.0,364.2857142857143,0.0
8a1e804258effff,240.5,11.25,304.5,0.0
8a1e804258f7fff,323.5,13.0,344.0,0.0
8a1e80425907fff,938.5,26.5,649.0,7.5
8a1e80425917fff,904.0,26.5,631.0,6.625
8a1e8042591ffff,752.75,24.5,587.0,4.25
8a1e80425927fff,1075.75,27.25,698.25,10.0
8a1e80425937fff,989.1428571428571,26.714285714285715,667.5714285714286,8.0
8a1e80425947fff,443.0,19.0,482.0,4.0
8a1e8042594ffff,282.6666666666667,13.333333333333334,365.0,1.0
8a1e80425957fff,544.0,19.5,484.5,3.0
8a1e8042595ffff,409.0,16.0,402.0,1.0
8a1e80425967fff,595.0,22.0,542.0,5.0
8a1e8042596ffff,345.5,15.5,416.0,3.5
8a1e8042598ffff,816.25,26.0,605.0,5.0
8a1e8042599ffff,646.0,23.0,545.0,4.0
8a1e804259a7fff,400.5,15.5,385.0,0.0
8a1e804259affff,641.6666666666666,23.0,543.6666666666666,4.0
8a1e804259b7fff,482.0,17.5,443.0,1.5
8a1e80425a07fff,167.0,9.0,254.0,0.0
8a1e80425a17fff,37.0,4.0,82.0,0.0
8a1e80425a4ffff,386.0,19.0,533.3333333333334,7.0
8a1e80425a57fff,507.8,21.2,608.8,12.8
8a1e80425a5ffff,518.0,22.0,615.0,15.0
8a1e80425a67fff,612.75,24.25,670.0,16.5
8a1e80425a87fff,175.33333333333334,9.833333333333334,263.3333333333333,0.0
8a1e80425a8ffff,165.0,8.5,252.5,0.0
8a1e80425a9ffff,168.375,8.75,254.25,0.0
8a1e80425aa7fff,156.0,6.0,224.0,0.0
8a1e80425ab7fff,161.0,9.0,241.0,0.0
8a1e80425ac7fff,269.0,14.0,420.0,4.0
8a1e80425acffff,276.5,14.0,414.0,2.5
8a1e80425adffff,269.0,14.5,406.5,3.5
8a1e80425aeffff,290.0,15.0,443.0,4.0
8a1e80425af7fff,179.0,10.0,280.0,0.0
8a1e80425b77fff,176.0,11.0,278.0,0.0
