id_int,id,x,y,net_type
331,76799_roma_tpl_1256_roma_tpl,12.4486,41.812973,
332,ROME6558_roma_tpl_2080_roma_tpl,12.471557,41.828732,
333,20321_roma_tpl_2080_roma_tpl,12.471748,41.829685,
334,75141_roma_tpl_2080_roma_tpl,12.465575,41.831947,
335,73158_roma_tpl_2080_roma_tpl,12.462122,41.833288,
336,73159_roma_tpl_2080_roma_tpl,12.463523,41.835833,
337,73161_roma_tpl_2080_roma_tpl,12.463583,41.837608,
338,73163_roma_tpl_2080_roma_tpl,12.464423,41.839213,
339,77870_roma_tpl_2080_roma_tpl,12.472077,41.842098,
340,71450_roma_tpl_2080_roma_tpl,12.453125,41.83967,
341,71451_roma_tpl_2080_roma_tpl,12.449973,41.83682,
342,71452_roma_tpl_2080_roma_tpl,12.447492,41.833957,
343,71453_roma_tpl_2080_roma_tpl,12.439303,41.833583,
344,71454_roma_tpl_2080_roma_tpl,12.437103,41.833832,
345,ROME9810_roma_tpl_2080_roma_tpl,12.436792,41.835663,
346,77243_roma_tpl_2080_roma_tpl,12.437145,41.838903,
347,74693_roma_tpl_2080_roma_tpl,12.43731,41.840527,
348,74649_roma_tpl_2080_roma_tpl,12.43724,41.841873,
349,74650_roma_tpl_2080_roma_tpl,12.436982,41.843265,
350,72962_roma_tpl_2080_roma_tpl,12.436145,41.84589,
351,72963_roma_tpl_2080_roma_tpl,12.436055,41.848905,
352,72941_roma_tpl_2080_roma_tpl,12.433915,41.851818,
353,72942_roma_tpl_2080_roma_tpl,12.431657,41.851627,
354,72943_roma_tpl_2080_roma_tpl,12.428688,41.851125,
355,72944_roma_tpl_2080_roma_tpl,12.426357,41.851117,
356,72945_roma_tpl_2080_roma_tpl,12.422805,41.850498,
357,72946_roma_tpl_2080_roma_tpl,12.421558,41.84964,
358,72947_roma_tpl_2080_roma_tpl,12.420043,41.848425,
359,79251_roma_tpl_2080_roma_tpl,12.413355,41.846073,
360,74114_roma_tpl_2080_roma_tpl,12.410617,41.844085,
361,82319_roma_tpl_2080_roma_tpl,12.416155,41.834212,
362,ROME4145_roma_tpl_2080_roma_tpl,12.416493,41.828167,
363,ROME4146_roma_tpl_2080_roma_tpl,12.411929,41.82526,
364,ROME4123_roma_tpl_2080_roma_tpl,12.413136,41.823257,
365,ROME934_roma_tpl_2080_roma_tpl,12.411484,41.82235,
366,ROME932_roma_tpl_2080_roma_tpl,12.409251,41.821587,
367,ROME933_roma_tpl_2080_roma_tpl,12.411557,41.822098,
368,ROME4169_roma_tpl_2080_roma_tpl,12.417376,41.820652,
369,ROME4121_roma_tpl_2080_roma_tpl,12.41457,41.823143,
370,ROME4124_roma_tpl_2080_roma_tpl,12.412229,41.82399,
371,ROME4126_roma_tpl_2080_roma_tpl,12.41263,41.825726,
372,ROME4128_roma_tpl_2080_roma_tpl,12.416921,41.828304,
373,77865_roma_tpl_2080_roma_tpl,12.411572,41.83256,
374,71418_roma_tpl_2080_roma_tpl,12.41618,41.828662,
375,82393_roma_tpl_2080_roma_tpl,12.416462,41.834008,
376,78452_roma_tpl_2080_roma_tpl,12.409758,41.842853,
377,74164_roma_tpl_2080_roma_tpl,12.410123,41.843632,
378,74166_roma_tpl_2080_roma_tpl,12.411567,41.844445,
379,79252_roma_tpl_2080_roma_tpl,12.414093,41.846787,
380,74167_roma_tpl_2080_roma_tpl,12.4202,41.848418,
381,82280_roma_tpl_2146_roma_tpl,12.448155,41.972843,
382,ROME8260_atac_248_atac,12.414848,41.906219,
383,ROME8271_atac_248_atac,12.42629,41.9006,
384,ROME8280_atac_248_atac,12.434508,41.899109,
385,ROME8281_atac_248_atac,12.441318,41.90271,
386,ROME8282_atac_248_atac,12.447394,41.907467,
387,ROME8283_atac_248_atac,12.458104,41.909351,
388,ROME8284_atac_248_atac,12.466186,41.911324,
389,ROME8285_atac_248_atac,12.476364,41.912609,
390,ROME8286_atac_248_atac,12.482235,41.907776,
391,ROME8261_atac_248_atac,12.488578,41.903694,
392,ROME8262_atac_248_atac,12.496241,41.902554,
393,ROME8263_atac_248_atac,12.499871,41.900967,
394,ROME8264_atac_248_atac,12.50426,41.894505,
395,ROME8265_atac_248_atac,12.506333,41.890545,
396,ROME8266_atac_248_atac,12.50944,41.88554,
397,ROME8267_atac_248_atac,12.513994,41.881725,
398,ROME8268_atac_248_atac,12.518899,41.877663,
399,ROME8269_atac_248_atac,12.522853,41.874615,
400,ROME8270_atac_248_atac,12.529369,41.869648,
401,ROME8272_atac_248_atac,12.535897,41.865936,
402,ROME8273_atac_248_atac,12.548119,41.863739,
403,ROME8274_atac_248_atac,12.552541,41.861942,
404,ROME8275_atac_248_atac,12.557053,41.859615,
405,ROME8276_atac_248_atac,12.562563,41.856514,
406,ROME8277_atac_248_atac,12.567956,41.853573,
407,ROME8278_atac_248_atac,12.573801,41.849422,
408,ROME6548_roma_tpl_333_roma_tpl,12.471338,41.836784,
409,72115_roma_tpl_333_roma_tpl,12.469017,41.836217,
410,70718_roma_tpl_333_roma_tpl,12.468045,41.83549,
411,70720_roma_tpl_333_roma_tpl,12.467068,41.833767,
412,74841_roma_tpl_333_roma_tpl,12.466682,41.831492,
413,78466_roma_tpl_333_roma_tpl,12.46865,41.830927,
414,70911_roma_tpl_333_roma_tpl,12.4706,41.830345,
415,20313_roma_tpl_333_roma_tpl,12.471233,41.829032,
416,72882_roma_tpl_333_roma_tpl,12.473275,41.826578,
417,72883_roma_tpl_333_roma_tpl,12.476043,41.825918,
418,76393_roma_tpl_333_roma_tpl,12.478992,41.825335,
419,72888_roma_tpl_333_roma_tpl,12.479217,41.823968,
